city,date,ts,time,expected_high_f,abs_error_f,actual_bucket_probability,modal_bucket,modal_probability,actual_inside_modal,raw_probability_sum
nyc,2026-03-04,1772632800,2026-03-04T14:00:00Z,49.58252427184466,0.5825242718446617,0.38349514563106796,48-49F,0.38349514563106796,True,1.03
nyc,2026-03-04,1772636400,2026-03-04T15:00:00Z,49.245,0.24499999999999744,0.43999999999999995,48-49F,0.43999999999999995,True,1.0
nyc,2026-03-04,1772640000,2026-03-04T16:00:00Z,48.526595744680854,0.47340425531914576,0.6648936170212766,48-49F,0.6648936170212766,True,0.9400000000000001
nyc,2026-03-04,1772643600,2026-03-04T17:00:00Z,47.94324324324325,1.056756756756748,0.372972972972973,<48F,0.5351351351351352,False,0.9249999999999999
nyc,2026-03-04,1772647200,2026-03-04T18:00:00Z,49.2,0.20000000000000284,0.5666666666666667,48-49F,0.5666666666666667,True,1.05
nyc,2026-03-04,1772650800,2026-03-04T19:00:00Z,49.385572139303484,0.3855721393034841,0.5970149253731344,48-49F,0.5970149253731344,True,1.005
nyc,2026-03-04,1772654400,2026-03-04T20:00:00Z,48.82512315270937,0.17487684729063346,0.8571428571428572,48-49F,0.8571428571428572,True,1.015
nyc,2026-03-04,1772658000,2026-03-04T21:00:00Z,48.70095693779905,0.2990430622009512,0.9186602870813397,48-49F,0.9186602870813397,True,1.045
nyc,2026-03-04,1772661600,2026-03-04T22:00:00Z,48.627450980392155,0.37254901960784537,0.9558823529411764,48-49F,0.9558823529411764,True,1.02
nyc,2026-03-04,1772665200,2026-03-04T23:00:00Z,48.627450980392155,0.37254901960784537,0.9558823529411764,48-49F,0.9558823529411764,True,1.02
nyc,2026-03-04,1772668800,2026-03-05T00:00:00Z,48.588235294117645,0.41176470588235503,0.9754901960784313,48-49F,0.9754901960784313,True,1.02
nyc,2026-03-04,1772672400,2026-03-05T01:00:00Z,48.588235294117645,0.41176470588235503,0.9754901960784313,48-49F,0.9754901960784313,True,1.02
nyc,2026-03-04,1772676000,2026-03-05T02:00:00Z,48.588235294117645,0.41176470588235503,0.9754901960784313,48-49F,0.9754901960784313,True,1.02
nyc,2026-03-04,1772679600,2026-03-05T03:00:00Z,48.588235294117645,0.41176470588235503,0.9754901960784313,48-49F,0.9754901960784313,True,1.02
nyc,2026-03-04,1772683200,2026-03-05T04:00:00Z,48.588235294117645,0.41176470588235503,0.9754901960784313,48-49F,0.9754901960784313,True,1.02
nyc,2026-03-04,1772686800,2026-03-05T05:00:00Z,48.58866995073892,0.41133004926108185,0.9753694581280788,48-49F,0.9753694581280788,True,1.015
nyc,2026-03-04,1772690400,2026-03-05T06:00:00Z,51.49999999999999,2.499999999999993,0.16666666666666666,<48F,0.16666666666666666,False,3.0
nyc,2026-03-05,1772640000,2026-03-04T16:00:00Z,43.03299492385787,2.9670050761421294,0.1472081218274112,43-44F,0.3197969543147208,False,0.985
nyc,2026-03-05,1772643600,2026-03-04T17:00:00Z,43.081280788177345,2.918719211822655,0.1576354679802956,43-44F,0.36453201970443355,False,1.015
nyc,2026-03-05,1772647200,2026-03-04T18:00:00Z,43.24009900990099,2.7599009900990126,0.12376237623762376,43-44F,0.42574257425742573,False,1.01
nyc,2026-03-05,1772650800,2026-03-04T19:00:00Z,43.0935960591133,2.9064039408866975,0.14285714285714288,43-44F,0.41871921182266014,False,1.015
